,host_response_rate,host_is_superhost,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,dist_from_bway_miles,years_host_since,days_since_first_review,days_since_last_review,host_response_time_a few days or more,host_response_time_within a day,host_response_time_within a few hours,host_response_time_within an hour,property_type_Apartment,property_type_Condominium,property_type_House,property_type_Other,property_type_Townhouse,room_type_Entire home/apt,room_type_Hotel room,room_type_Private room,room_type_Shared room,bed_type_Other,bed_type_Real Bed,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict_14_with_grace_period,cancellation_policy_super_strict_30,cancellation_policy_super_strict_60
2865,0.96,0.0,28.0,1.0,0.0,36.14614,-86.79185,4.0,1.0,1.0,2.0,110.0,100.0,50.0,4.0,40.0,1.0,1125.0,0.1,0.25,0.5,0.1232876712328767,86.0,44.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,0.0,0.0,0.0,0.0,3.82,1.4784291561245464,2.308055606891312,675.0,14.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2866,1.0,1.0,1.0,1.0,0.0,36.25796,-86.74256,2.0,1.0,1.0,1.0,55.0,0.0,40.0,1.0,0.0,1.0,1125.0,0.13333333333333333,0.43333333333333335,0.6222222222222222,0.15342465753424658,95.0,36.0,99.0,10.0,10.0,10.0,10.0,9.0,10.0,0.0,0.0,0.0,0.0,4.24,6.834839360514489,4.536711910579957,671.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2869,1.0,1.0,20.0,1.0,0.0,36.13537,-86.76586,10.0,2.5,3.0,7.0,165.0,500.0,225.0,8.0,25.0,2.0,365.0,0.5666666666666667,0.6333333333333333,0.7555555555555555,0.9397260273972603,51.0,24.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,2.24,1.9137103446424615,4.446360979349336,683.0,47.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2870,1.0,1.0,3.0,1.0,0.0,36.150490000000005,-86.8066,6.0,1.0,1.0,3.0,119.0,0.0,40.0,4.0,10.0,1.0,1125.0,0.06666666666666667,0.4166666666666667,0.5444444444444444,0.3561643835616438,158.0,82.0,97.0,10.0,10.0,10.0,9.0,10.0,10.0,1.0,0.0,0.0,0.0,6.73,1.9746439442019825,2.976104916596508,703.0,8.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2871,1.0,1.0,1.0,1.0,0.0,36.12685,-86.72309,12.0,2.0,3.0,6.0,225.0,0.0,80.0,6.0,15.0,2.0,7.0,0.4,0.4666666666666667,0.6444444444444445,0.4438356164383562,45.0,34.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,2.27,3.7668922925078108,3.7673600416161865,595.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2872,1.0,1.0,1.0,1.0,1.0,36.19222,-86.72909,5.0,1.0,2.0,3.0,75.0,0.0,65.0,3.0,25.0,1.0,1125.0,0.3,0.5,0.6444444444444445,0.1589041095890411,103.0,52.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,4.92,3.268806460659747,5.002156101768003,627.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2873,1.0,1.0,1.0,1.0,0.0,36.174440000000004,-86.73853000000001,3.0,1.0,1.0,1.0,150.0,100.0,65.0,3.0,50.0,2.0,1125.0,0.3,0.45,0.6333333333333333,0.39452054794520547,142.0,83.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,6.63,2.174302292570834,3.720815622497382,642.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2874,1.0,1.0,1.0,1.0,0.0,36.294909999999994,-86.73682,6.0,2.0,3.0,3.0,250.0,100.0,75.0,6.0,50.0,2.0,7.0,0.6,0.8,0.8666666666666667,0.4547945205479452,19.0,11.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,0.83,9.384753724673708,1.930224439926898,684.0,117.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2875,1.0,1.0,2.0,1.0,0.0,36.12272,-86.7402,2.0,1.0,1.0,1.0,100.0,100.0,45.0,1.0,0.0,1.0,1125.0,0.6,0.7666666666666667,0.8444444444444444,0.9616438356164384,77.0,47.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1.0,0.0,0.0,0.0,3.3,3.329473217411125,5.65104006242428,698.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
2876,1.0,0.0,4.0,1.0,0.0,36.08285,-86.70844,2.0,1.5,1.0,1.0,55.0,0.0,40.0,1.0,0.0,2.0,1125.0,0.7,0.85,0.9,0.2219178082191781,19.0,6.0,93.0,9.0,9.0,10.0,10.0,9.0,10.0,1.0,0.0,0.0,0.0,0.83,6.601623538290893,1.935700253940875,684.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
